Observer,Contrast,State,Time,Duration,HistorySame,HistoryOther,Tau,iRow
al,0.0625,1,0.084426,1.750823,0,0.912013678416818,0.9,4
al,0.0625,-1,0.134444,4.568803,0.6082337930128442,0.333086983883083,0.9,6
al,0.0625,1,0.184465,2.751265,0.06589226501074735,0.9224996352841152,0.9,8
al,0.0625,-1,0.23449,6.002805,0.4103029035927679,0.5845341274129459,0.9,10
al,0.0625,1,0.284515,1.650773,0.05143100771090014,0.9481147216388446,0.9,12
al,0.0625,-1,0.334542,1.467349,0.632310048633013,0.3673869923574919,0.9,14
al,0.0625,1,0.38456,2.384452,0.24501516715525762,0.7547827855379602,0.9,16
al,0.0625,-1,0.434583,5.00234,0.3357069820333133,0.6642031527857533,0.9,18
al,0.0625,1,0.484607,1.500698,0.03897492498874381,0.405792772858418,0.9,20
al,0.0625,-1,0.534634,3.001406,0.18048565722141524,0.23947503823507824,0.9,22
al,0.0625,1,0.584656,0.800383,0.07103425534661871,0.756911653447548,0.9,24
al,0.0625,-1,0.634678,1.650761,0.22451883111527063,0.021070527725296384,0.9,26
al,0.0625,1,0.684702,3.868473,0.014052209196452527,0.4828215147172128,0.9,28
al,0.0625,-1,0.734726,1.950911,0.14321687561271645,0.7075433512964988,0.9,30
al,0.0625,-1,0.784751,2.284399,0.4286001823568011,0.4718698704466194,0.9,32
al,0.0625,1,0.834771,1.200561,0.20987496423514845,0.7458568054401705,0.9,34
al,0.0625,-1,0.884793,5.485899,0.49742161170743265,0.47305532928857597,0.9,36
al,0.0625,1,0.934816,3.835122,0.06241053529254533,0.933694465958189,0.9,38
al,0.0625,-1,0.984844,2.751282,0.12318299321936219,0.3210761078154221,0.9,40
al,0.0625,1,1.034864,1.900898,0.14280597441142506,0.6100154948128356,0.9,42
al,0.0625,-1,1.084886,2.451147,0.4068272735236817,0.42832614699732174,0.9,44
al,0.0625,1,1.13491,2.401121,0.19050789298532098,0.7361728040897113,0.9,46
al,0.0625,-1,1.184934,3.951826,0.32742976529308937,0.6399597905084726,0.9,48
al,0.0625,1,1.234964,1.70079,0.18982799838170625,0.8004989324031024,0.9,50
al,0.0625,-1,1.285015,2.301076,0.5338631574073252,0.45968574682726393,0.9,52
al,0.0625,-1,1.335004,1.167214,0.7926749315966556,0.20445579537313027,0.9,54
al,0.0625,1,1.385027,5.019014,0.13635423115487752,0.8617322133144795,0.9,56
al,0.0625,-1,1.435053,0.783702,0.07582064763927497,0.5909240017653556,0.9,58
al,0.0625,-1,1.485075,2.61789,0.050565776801046874,0.39409490831321176,0.9,60
al,0.0625,1,1.535099,2.901355,0.17528276325251438,0.5777173197159069,0.9,62
al,0.0625,-1,1.585122,3.06819,0.2569530487264244,0.6331880643223444,0.9,64
al,0.0625,-1,1.63515,3.151467,0.3467422437805852,0.0835369640473945,0.9,66
al,0.0625,-1,0.034398,6.503033,0,0,30,2
al,0.0625,1,0.084426,1.750823,0,0.07032221200980283,30,4
al,0.0625,-1,0.134444,4.568803,0.06947276738918737,0.012079321687109016,30,6
al,0.0625,1,0.184465,2.751265,0.011506171699529385,0.11362521945796257,30,8
al,0.0625,-1,0.23449,6.002805,0.1108967673599428,0.03524261042829082,30,10
al,0.0625,1,0.284515,1.650773,0.03276427210597366,0.17342047338425792,30,12
al,0.0625,-1,0.334542,1.467349,0.17132567169911875,0.044447823610470595,30,14
al,0.0625,1,0.38456,2.384452,0.04391092405078785,0.18133549548451394,30,16
al,0.0625,-1,0.434583,5.00234,0.17698113458241493,0.06686923610168348,30,18
al,0.0625,1,0.484607,1.500698,0.0614159102026551,0.22008730904462487,30,20
al,0.0625,-1,0.534634,3.001406,0.21480241117622081,0.07187455800147505,30,22
al,0.0625,1,0.584656,0.800383,0.06930130525429584,0.24291405330246263,30,24
al,0.0625,-1,0.634678,1.650761,0.2342172449690303,0.06682018009558452,30,26
al,0.0625,1,0.684702,3.868473,0.06601303764501941,0.24346738120948996,30,28
al,0.0625,-1,0.734726,1.950911,0.23475076263170355,0.09945163655313637,30,30
al,0.0625,-1,0.784751,2.284399,0.24399445434069014,0.0982503282429016,30,32
al,0.0625,1,0.834771,1.200561,0.09589106930809575,0.2621482139286472,30,34
al,0.0625,-1,0.884793,5.485899,0.25898164132290197,0.10681209192211139,30,36
al,0.0625,1,0.934816,3.835122,0.10051498215254877,0.302668398710385,30,38
al,0.0625,-1,0.984844,2.751282,0.28482457507432263,0.12953141235766996,30,40
al,0.0625,1,1.034864,1.900898,0.12642100909074822,0.30199789185997294,30,42
